time_h1,time_h2,time_m1,time_m2,start_m,finish_m,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36
14,14,0,15,841,855,3,2,3,2,4,2,3,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
14,14,15,30,856,870,3,2,3,2,4,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,3,2,3,3,2,5,2,2,3,1
14,14,30,45,871,885,3,2,3,2,4,2,3,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,3,2,3,3,2,5,2,2,3,1
14,15,45,0,886,900,3,2,3,2,4,2,3,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,3,2,3,3,2,5,2,2,3,1
15,15,0,15,901,915,3,2,3,2,4,2,3,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
15,15,15,30,916,930,3,2,3,2,4,2,3,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
15,15,30,45,931,945,3,2,3,2,4,2,3,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
15,16,45,0,946,960,3,2,3,2,4,2,3,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
16,16,0,15,961,975,3,2,3,2,4,2,3,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
16,16,15,30,976,990,3,2,3,2,4,2,3,3,3,2,3,3,3,2,3,2,4,3,2,2,2,2,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
16,16,30,45,991,1005,3,2,3,2,4,2,3,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
16,17,45,0,1006,1020,3,2,3,2,4,2,3,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
17,17,0,15,1021,1035,3,2,3,2,4,2,3,3,3,2,3,3,3,3,4,2,4,3,2,2,2,3,2,4,2,3,2,3,2,3,3,2,5,2,2,3,1
17,17,15,30,1036,1050,3,2,3,2,4,2,3,3,3,2,3,3,3,3,4,2,4,3,2,2,2,3,2,4,2,3,2,3,2,3,3,2,5,2,2,3,1
17,17,30,45,1051,1065,3,2,3,2,4,2,3,3,3,2,3,3,3,3,4,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
17,18,45,0,1066,1080,3,2,3,2,4,2,3,3,3,2,3,3,3,3,4,2,4,3,2,2,2,2,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
18,18,0,15,1081,1095,3,2,3,2,4,2,4,3,3,2,3,3,3,3,4,2,4,3,2,2,2,2,2,4,2,3,2,2,2,2,3,2,5,2,2,3,1
18,18,15,30,1096,1110,3,2,3,2,4,2,4,3,3,2,3,3,3,3,4,2,4,3,2,2,2,2,2,4,2,3,2,2,2,2,3,2,5,2,2,3,1
18,18,30,45,1111,1125,3,2,3,2,4,2,4,3,3,2,3,3,3,3,4,2,4,3,2,2,2,2,2,4,2,3,2,2,2,2,3,2,5,2,2,3,1
18,19,45,0,1126,1140,3,2,3,2,4,2,4,3,3,2,3,3,3,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
19,19,0,15,1141,1155,3,2,3,2,4,2,4,3,3,2,3,3,3,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
19,19,15,30,1156,1170,3,2,3,2,4,2,4,3,3,2,3,3,3,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
19,19,30,45,1171,1185,3,2,3,2,4,2,4,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
19,20,45,0,1186,1200,3,2,3,2,4,2,4,3,3,2,3,3,4,3,4,2,4,3,2,2,2,3,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
20,20,0,15,1201,1215,3,2,3,2,4,2,4,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
20,20,15,30,1216,1230,3,2,3,2,4,2,4,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
20,20,30,45,1231,1245,3,2,3,2,4,2,4,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
20,21,45,0,1246,1260,3,2,3,2,4,2,4,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
21,21,0,15,1261,1275,3,2,3,2,4,2,4,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
21,21,15,30,1276,1290,3,2,3,2,4,2,4,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
21,21,30,45,1291,1305,3,2,3,2,4,2,4,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
21,22,45,0,1306,1320,3,2,3,2,4,2,3,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
22,22,0,15,1321,1335,3,2,3,2,4,2,3,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
22,22,15,30,1336,1350,3,2,3,2,4,2,3,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
22,22,30,45,1351,1365,3,2,3,2,4,2,3,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
22,23,45,0,1366,1380,3,2,3,2,4,2,3,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
23,23,0,15,1381,1395,3,2,3,2,4,2,3,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
23,23,15,30,1396,1410,3,2,3,2,4,2,3,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
23,23,30,45,1411,1425,3,2,3,2,4,2,3,3,3,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,2,3,2,3,2,2,3,2,5,2,2,3,1
